# ros_time(s)          x(m)      y(m)      yaw(rad)  delta_t(ms)
          422.888689     2.015  -282.719    1.5704        0.00
          422.938689     2.015  -282.719    1.5704       50.00
          422.988689     2.015  -282.719    1.5704       50.00
          423.038689     2.015  -282.719    1.5704       50.00
          423.088689     2.015  -282.719    1.5704       50.00
          423.138689     2.015  -282.719    1.5704       50.00
          423.188689     2.015  -282.719    1.5704       50.00
          423.238689     2.015  -282.719    1.5704       50.00
          423.288689     2.015  -282.719    1.5704       50.00
          423.338689     2.015  -282.719    1.5704       50.00
          423.388689     2.015  -282.719    1.5704       50.00
          423.438689     2.015  -282.719    1.5704       50.00
          423.488689     2.015  -282.719    1.5704       50.00
          423.538689     2.015  -282.719    1.5704       50.00
          423.588689     2.015  -282.719    1.5704       50.00
          423.638689     2.015  -282.719    1.5704       50.00
          423.688689     2.015  -282.719    1.5704       50.00
          423.738689     2.015  -282.719    1.5704       50.00
          423.788689     2.015  -282.719    1.5704       50.00
          423.838689     2.015  -282.719    1.5704       50.00
          423.888689     2.015  -282.719    1.5704       50.00
          423.938689     2.015  -282.719    1.5704       50.00
          423.988689     2.015  -282.719    1.5704       50.00
          424.038689     2.015  -282.719    1.5704       50.00
          424.088689     2.015  -282.719    1.5704       50.00
          424.138689     2.015  -282.719    1.5704       50.00
          424.188689     2.015  -282.719    1.5704       50.00
          424.238689     2.015  -282.719    1.5704       50.00
          424.288689     2.015  -282.719    1.5704       50.00
          424.338689     2.015  -282.719    1.5704       50.00
          424.388689     2.015  -282.719    1.5704       50.00
          424.438689     2.015  -282.719    1.5704       50.00
          424.488689     2.015  -282.719    1.5704       50.00
          424.538689     2.015  -282.719    1.5704       50.00
          424.588689     2.015  -282.719    1.5704       50.00
          424.638689     2.015  -282.719    1.5704       50.00
          424.688689     2.015  -282.719    1.5704       50.00
          424.738689     2.015  -282.719    1.5704       50.00
          424.788689     2.015  -282.719    1.5704       50.00
          424.838689     2.015  -282.719    1.5704       50.00
          424.888689     2.015  -282.719    1.5704       50.00
          424.938689     2.015  -282.719    1.5704       50.00
          424.988689     2.015  -282.719    1.5704       50.00
          425.038689     2.015  -282.719    1.5704       50.00
          425.088689     2.015  -282.719    1.5704       50.00
          425.138689     2.015  -282.719    1.5704       50.00
          425.188689     2.015  -282.719    1.5704       50.00
          425.238689     2.015  -282.719    1.5704       50.00
          425.288689     2.015  -282.719    1.5704       50.00
          425.338689     2.015  -282.719    1.5704       50.00
          425.388689     2.015  -282.719    1.5704       50.00
          425.438689     2.015  -282.719    1.5704       50.00
          425.488689     2.015  -282.719    1.5704       50.00
          425.538689     2.015  -282.719    1.5704       50.00
          425.588689     2.015  -282.719    1.5704       50.00
          425.638689     2.015  -282.719    1.5704       50.00
          425.688689     2.015  -282.719    1.5704       50.00
          425.738689     2.015  -282.719    1.5704       50.00
          425.788689     2.015  -282.719    1.5704       50.00
          425.838689     2.015  -282.719    1.5704       50.00
          425.888689     2.015  -282.719    1.5704       50.00
          425.938689     2.015  -282.719    1.5704       50.00
          425.988689     2.015  -282.719    1.5704       50.00
          426.038689     2.015  -282.719    1.5704       50.00
          426.088689     2.015  -282.719    1.5704       50.00
          426.138689     2.015  -282.719    1.5704       50.00
          426.188689     2.015  -282.719    1.5704       50.00
          426.238689     2.015  -282.719    1.5704       50.00
          426.288689     2.015  -282.719    1.5704       50.00
          426.338689     2.015  -282.719    1.5704       50.00
          426.388689     2.015  -282.719    1.5704       50.00
          426.438689     2.015  -282.719    1.5704       50.00
          426.488689     2.015  -282.719    1.5704       50.00
          426.538689     2.015  -282.719    1.5704       50.00
          426.588689     2.015  -282.719    1.5704       50.00
          426.638689     2.015  -282.719    1.5704       50.00
          426.688689     2.015  -282.719    1.5704       50.00
          426.738689     2.015  -282.719    1.5704       50.00
          426.788689     2.015  -282.719    1.5704       50.00
          426.838689     2.015  -282.719    1.5704       50.00
          426.888689     2.015  -282.719    1.5704       50.00
