timestamp,x,y,yaw,v_total,v_lat,v_long,w_z,a_lat,a_long,throttle_cmd,brake_cmd,steer_cmd,gear_cmd,throttle_real,brake_real,steer_real,gear_real,is_idle
2602.166,210.867,-199.442,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,1,1
2603.216,210.867,-199.442,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,1,1
2604.216,210.867,-199.442,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,1,1
2605.266,210.867,-199.442,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,1,1
2606.266,210.867,-199.442,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,1,1
2606.666,210.867,-199.442,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,1.0,0.0,-0.058,0,1.0,0.0,-1.0,1,1
2606.766,210.867,-199.442,-0.0,0.0,-0.0,0.0,0.0,-0.004,-0.294,1.0,0.0,-0.018,0,1.0,0.0,-0.027,1,1
2606.816,210.868,-199.442,0.0,0.015,-0.0,-0.015,-0.0,0.024,1.919,1.0,0.0,-0.013,0,1.0,0.0,-0.018,1,1
2606.916,210.875,-199.442,0.0,0.113,0.001,0.113,0.006,0.001,3.593,1.0,0.0,-0.011,0,1.0,0.0,-0.012,1,0
2606.966,210.886,-199.442,0.0,0.292,0.001,0.292,0.014,0.033,2.09,1.0,0.0,-0.011,0,1.0,0.0,-0.011,1,0
2607.066,210.93,-199.441,0.0,0.613,0.004,0.613,0.013,0.041,4.904,1.0,0.0,-0.011,0,1.0,0.0,-0.011,1,0
2607.116,210.968,-199.441,0.001,0.858,0.006,0.858,0.005,0.03,5.395,1.0,0.0,-0.01,0,1.0,0.0,-0.011,1,0
2607.216,211.084,-199.44,0.002,1.432,0.009,1.432,0.007,0.039,5.423,1.0,0.0,-0.01,0,1.0,0.0,-0.01,1,0
2607.266,211.164,-199.44,0.002,1.703,0.01,1.703,0.019,0.051,6.792,1.0,0.0,-0.01,0,1.0,0.0,-0.01,1,0
2607.366,211.372,-199.438,0.003,2.351,0.012,2.351,0.017,0.05,7.024,1.0,0.0,-0.009,0,1.0,0.0,-0.009,1,0
2607.416,211.5,-199.437,0.003,2.702,0.014,2.702,0.002,0.054,8.367,1.0,0.0,-0.008,0,1.0,0.0,-0.009,1,0
2607.516,211.817,-199.435,0.004,3.535,0.016,3.535,0.011,0.06,8.279,1.0,0.0,-0.008,0,1.0,0.0,-0.008,1,0
2607.566,212.005,-199.433,0.005,3.921,0.016,3.921,0.012,0.056,7.445,1.0,0.0,-0.007,0,1.0,0.0,-0.008,1,0
2607.616,212.213,-199.431,0.005,4.293,0.017,4.293,0.012,0.056,7.299,1.0,0.0,-0.006,0,1.0,0.0,-0.007,1,0
2607.716,212.682,-199.427,0.006,5.02,0.015,5.019,0.012,0.043,7.214,1.0,0.0,-0.005,0,1.0,0.0,-0.006,1,0
2607.816,213.222,-199.422,0.008,5.614,0.013,5.614,0.01,0.028,4.669,1.0,0.0,-0.004,0,1.0,0.0,-0.005,1,0
2607.866,213.502,-199.419,0.008,5.634,0.012,5.634,0.01,0.004,2.162,1.0,0.0,-0.003,0,1.0,0.0,-0.004,1,0
2607.966,214.072,-199.413,0.009,5.72,0.009,5.72,0.008,0.008,-0.066,1.0,0.0,-0.002,0,1.0,0.0,-0.003,0,0
2608.016,214.357,-199.41,0.009,5.717,0.007,5.717,0.006,0.035,10.233,1.0,0.0,-0.002,0,1.0,0.0,-0.002,0,0
2608.116,214.987,-199.404,0.01,6.889,0.006,6.889,0.005,0.018,11.212,1.0,0.0,-0.001,0,1.0,0.0,-0.001,2,0
2608.216,215.737,-199.396,0.01,7.939,0.004,7.939,0.004,0.018,9.796,1.0,0.0,-0.001,0,1.0,0.0,-0.001,2,0
2608.266,216.148,-199.391,0.01,8.38,0.003,8.38,0.003,0.001,8.156,1.0,0.0,-0.0,0,1.0,0.0,-0.0,2,0
2608.366,217.027,-199.382,0.011,9.042,0.001,9.042,0.001,-0.017,-3.455,1.0,0.0,0.0,0,1.0,0.0,0.0,0,0
2608.466,217.921,-199.372,0.011,9.056,-0.001,9.056,-0.0,-0.013,3.733,1.0,0.0,0.001,0,1.0,0.0,0.0,0,0
2608.516,218.389,-199.367,0.011,9.549,-0.002,9.549,-0.002,-0.026,8.319,1.0,0.0,0.001,0,1.0,0.0,0.001,3,0
