timestamp,x,y,yaw,v_total,v_lat,v_long,w_z,a_lat,a_long,throttle_cmd,brake_cmd,steer_cmd,gear_cmd,throttle_real,brake_real,steer_real,gear_real,is_idle
2536.616,237.7,-133.24,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,1,1
2537.516,237.7,-133.24,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,1.0,0.0,1.0,0,0.0,1.0,0.0,1,1
2537.566,237.7,-133.24,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,1.0,0.0,0.022,0,1.0,0.0,0.045,1,1
2537.666,237.701,-133.24,-0.0,0.015,0.0,-0.015,0.0,-0.019,1.919,1.0,0.0,0.014,0,1.0,0.0,0.015,1,1
2537.766,237.706,-133.24,-0.0,0.102,-0.001,0.102,-0.016,0.011,1.749,1.0,0.0,0.014,0,1.0,0.0,0.014,1,0
2537.816,237.713,-133.24,-0.0,0.189,-0.001,0.189,-0.004,-0.05,4.586,1.0,0.0,0.014,0,1.0,0.0,0.014,1,0
2537.916,237.756,-133.241,-0.001,0.619,-0.005,0.619,0.004,-0.041,4.02,1.0,0.0,0.013,0,1.0,0.0,0.014,1,0
2537.966,237.794,-133.241,-0.001,0.844,-0.007,0.844,-0.001,-0.037,5.192,1.0,0.0,0.013,0,1.0,0.0,0.013,1,0
2538.066,237.909,-133.242,-0.002,1.463,-0.011,1.463,-0.003,-0.053,7.18,1.0,0.0,0.013,0,1.0,0.0,0.013,1,0
2538.116,237.991,-133.243,-0.002,1.783,-0.013,1.783,-0.012,-0.041,5.016,1.0,0.0,0.012,0,1.0,0.0,0.013,1,0
2538.166,238.087,-133.243,-0.003,2.034,-0.014,2.034,-0.01,-0.059,6.122,1.0,0.0,0.012,0,1.0,0.0,0.012,1,0
2538.266,238.327,-133.246,-0.004,2.723,-0.017,2.723,-0.014,-0.076,8.626,1.0,0.0,0.011,0,1.0,0.0,0.011,1,0
2538.316,238.476,-133.247,-0.004,3.154,-0.019,3.154,-0.013,-0.073,8.094,1.0,0.0,0.01,0,1.0,0.0,0.011,1,0
2538.416,238.836,-133.251,-0.006,3.94,-0.021,3.94,-0.015,-0.041,7.386,1.0,0.0,0.008,0,1.0,0.0,0.009,1,0
2538.466,239.044,-133.253,-0.007,4.309,-0.02,4.309,-0.014,-0.056,7.264,1.0,0.0,0.008,0,1.0,0.0,0.008,1,0
2538.566,239.515,-133.259,-0.008,5.033,-0.019,5.033,-0.014,-0.06,7.201,1.0,0.0,0.006,0,1.0,0.0,0.007,1,0
2538.616,239.777,-133.262,-0.009,5.393,-0.018,5.393,-0.014,-0.04,4.801,1.0,0.0,0.005,0,1.0,0.0,0.006,1,0
2538.716,240.337,-133.268,-0.01,5.652,-0.014,5.652,-0.012,-0.012,2.153,1.0,0.0,0.004,0,1.0,0.0,0.004,1,0
2538.766,240.622,-133.272,-0.011,5.76,-0.011,5.76,-0.009,-0.028,-0.435,1.0,0.0,0.003,0,1.0,0.0,0.004,0,0
2538.866,241.195,-133.279,-0.011,5.735,-0.008,5.735,-0.008,-0.012,10.218,1.0,0.0,0.002,0,1.0,0.0,0.002,0,0
2538.916,241.493,-133.283,-0.012,6.246,-0.007,6.246,-0.006,-0.02,13.195,1.0,0.0,0.002,0,1.0,0.0,0.002,2,0
2539.016,242.19,-133.292,-0.012,7.466,-0.005,7.466,-0.005,0.015,9.789,1.0,0.0,0.0,0,1.0,0.0,0.001,2,0
2539.066,242.578,-133.297,-0.012,7.955,-0.003,7.955,-0.003,0.005,8.817,1.0,0.0,0.0,0,1.0,0.0,0.0,2,0
2539.166,243.422,-133.308,-0.013,8.804,-0.001,8.804,-0.001,0.036,5.072,1.0,0.0,-0.001,0,1.0,0.0,-0.001,2,0
2539.216,243.87,-133.313,-0.013,9.057,0.001,9.057,0.001,0.021,-3.448,1.0,0.0,-0.001,0,1.0,0.0,-0.001,0,0
2539.316,244.765,-133.324,-0.012,9.071,0.003,9.071,0.003,0.048,9.859,1.0,0.0,-0.001,0,1.0,0.0,-0.001,3,0
2539.416,245.726,-133.336,-0.012,9.98,0.004,9.98,0.004,0.041,8.323,1.0,0.0,-0.002,0,1.0,0.0,-0.001,3,0
