timestamp,x,y,yaw,v_total,v_lat,v_long,w_z,a_lat,a_long,throttle_cmd,brake_cmd,steer_cmd,gear_cmd,throttle_real,brake_real,steer_real,gear_real,is_idle
471.783,210.867,-133.648,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0,1
472.783,210.867,-133.648,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0,1
473.833,210.867,-133.648,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0,1
474.833,210.867,-133.648,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0,1
475.883,210.867,-133.648,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0,1
476.933,210.867,-133.648,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0,1
477.983,210.867,-133.648,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0,1
478.983,210.867,-133.648,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0,1
480.033,210.867,-133.648,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0,1
481.033,210.867,-133.648,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0,1
482.083,210.867,-133.648,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0,1
483.083,210.867,-133.648,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0,1
483.683,210.867,-133.648,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,1.0,0.0,-1.0,0,0.0,1.0,0.0,0,1
483.733,210.867,-133.648,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0,1
483.833,210.867,-133.648,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0,-0.01,0,1.0,0.0,-1.0,0,1
483.933,210.867,-133.648,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,0.0,-0.01,0,1.0,0.0,-0.01,0,1
484.333,210.867,-133.648,0.0,0.0,-0.0,0.0,-0.0,0.056,9.321,1.0,0.0,-0.01,0,1.0,0.0,-0.01,0,1
484.383,210.88,-133.648,-0.0,0.466,0.003,0.466,-0.006,0.076,9.942,1.0,0.0,-0.01,0,1.0,0.0,-0.01,1,0
484.483,210.981,-133.647,0.0,1.347,0.008,1.347,0.018,0.044,7.673,1.0,0.0,-0.01,0,1.0,0.0,-0.01,1,0
484.533,211.06,-133.647,0.001,1.718,0.01,1.718,-0.004,0.051,6.784,1.0,0.0,-0.01,0,1.0,0.0,-0.01,1,0
484.583,211.156,-133.646,0.001,2.057,0.012,2.057,0.015,0.063,7.533,1.0,0.0,-0.01,0,1.0,0.0,-0.01,1,0
484.683,211.403,-133.645,0.002,2.822,0.015,2.821,0.014,0.058,8.309,1.0,0.0,-0.009,0,1.0,0.0,-0.009,1,0
484.733,211.557,-133.643,0.002,3.237,0.016,3.237,0.011,0.055,7.699,1.0,0.0,-0.008,0,1.0,0.0,-0.009,1,0
484.833,211.923,-133.641,0.004,3.992,0.017,3.992,0.012,0.057,7.399,1.0,0.0,-0.007,0,1.0,0.0,-0.008,1,0
